Symbol,Date,Predicted Close
CBOE,2024-11-08,196.75537758126828
CBOE,2024-11-11,196.46889630997532
CBOE,2024-11-12,196.71212955731306
CBOE,2024-11-13,196.69330592036965
CBOE,2024-11-14,196.77288468570535
CBOE,2024-11-15,196.77482726419288
CBOE,2024-11-18,196.786566174402
CBOE,2024-11-19,196.78014841144443
CBOE,2024-11-20,196.78262434035742
CBOE,2024-11-21,196.78042932095298
CBOE,2024-11-22,196.78044619036228
CBOE,2024-11-25,196.78006841787627
CBOE,2024-11-26,196.78027785595413
CBOE,2024-11-27,196.78014551864612
CBOE,2024-11-28,196.78020893839442
CBOE,2024-11-29,196.7802077080312
CBOE,2024-12-02,196.7802181690173
CBOE,2024-12-03,196.7802101015106
CBOE,2024-12-04,196.78021609420225
CBOE,2024-12-05,196.7802141363391
CBOE,2024-12-06,196.78021406236283
CBOE,2024-12-09,196.78021382653571
CBOE,2024-12-10,196.78021416610292
CBOE,2024-12-11,196.78021390417317
CBOE,2024-12-12,196.78021396839287
CBOE,2024-12-13,196.78021398145592
CBOE,2024-12-16,196.7802139839328
CBOE,2024-12-17,196.78021396899058
CBOE,2024-12-18,196.78021398058328
CBOE,2024-12-19,196.78021397839586
CBOE,2024-11-08,196.75537758126828
CBOE,2024-11-11,196.46889630997532
CBOE,2024-11-12,196.71212955731306
CBOE,2024-11-13,196.69330592036965
CBOE,2024-11-14,196.77288468570535
CBOE,2024-11-15,196.77482726419288
CBOE,2024-11-18,196.786566174402
CBOE,2024-11-19,196.78014841144443
CBOE,2024-11-20,196.78262434035742
CBOE,2024-11-21,196.78042932095298
CBOE,2024-11-22,196.78044619036228
CBOE,2024-11-25,196.78006841787627
CBOE,2024-11-26,196.78027785595413
CBOE,2024-11-27,196.78014551864612
CBOE,2024-11-28,196.78020893839442
CBOE,2024-11-29,196.7802077080312
CBOE,2024-12-02,196.7802181690173
CBOE,2024-12-03,196.7802101015106
CBOE,2024-12-04,196.78021609420225
CBOE,2024-12-05,196.7802141363391
CBOE,2024-12-06,196.78021406236283
CBOE,2024-12-09,196.78021382653571
CBOE,2024-12-10,196.78021416610292
CBOE,2024-12-11,196.78021390417317
CBOE,2024-12-12,196.78021396839287
CBOE,2024-12-13,196.78021398145592
CBOE,2024-12-16,196.7802139839328
CBOE,2024-12-17,196.78021396899058
CBOE,2024-12-18,196.78021398058328
CBOE,2024-12-19,196.78021397839586
